Unnamed: 0,Game,ReleaseDate,Genre,TotalEarnings,OfflineEarnings,PercentOffline,TotalPlayers,TotalTournaments,Country,Date,Earnings,Players,Tournaments
3118,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2022-06-01,10000.0,43.0,2.0
3119,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2022-08-01,5280.16,18.0,1.0
3120,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2022-09-01,10000.0,30.0,1.0
4062,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2011-08-01,1600000.0,41.0,1.0
4063,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2011-10-01,22000.0,16.0,1.0
4064,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2011-11-01,20268.08,35.0,2.0
4065,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2011-12-01,30500.0,40.0,3.0
4066,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-02-01,2621.34,20.0,1.0
4067,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-03-01,42028.2,77.0,13.0
4068,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-04-01,20354.04,69.0,6.0
4069,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-05-01,8843.93,44.0,9.0
4070,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-06-01,36447.31,41.0,8.0
4071,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-07-01,41052.74,72.0,14.0
4072,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-08-01,43604.54,45.0,8.0
4073,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-09-01,1615721.38,66.0,7.0
4074,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-10-01,38042.42,71.0,7.0
4075,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-11-01,130845.7,82.0,12.0
4076,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2012-12-01,107533.25,78.0,11.0
4077,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2013-01-01,8135.99,15.0,3.0
